,,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
192,43,Taylor Ward,0,135,495,73,139,22,2,23,65,60,120,5,3,.281
193, ,Nico Hoerner,0,135,481,60,135,22,5,10,55,28,57,20,2,.281
194, ,Brendan Donovan,0,126,391,64,110,21,1,5,45,60,70,2,3,.281
195,46,Jose Ramirez,7,157,601,90,168,44,5,29,126,69,82,20,7,.280
196, ,Alex Verdugo,3,152,593,75,166,39,1,11,74,42,86,1,3,.280
197, ,Alec Bohm,0,152,586,79,164,24,3,13,72,31,110,2,3,.280
198,49,Justin Turner,0,128,468,61,130,36,0,13,81,50,89,3,0,.278
199, ,William Contreras,0,97,334,51,93,14,1,20,45,39,104,2,0,.278
200,1,Jeff McNeil,2,148,533,73,174,39,1,9,62,40,61,4,0,.326
201,2,Freddie Freeman,10,159,612,117,199,47,2,21,100,84,102,13,3,.325
202,3,Joey Meneses,0,56,222,33,72,14,0,13,34,15,52,1,0,.324
203,4,Paul Goldschmidt,9,151,561,106,178,41,0,35,115,79,141,7,0,.317
204,5,Luis Arraez,1,144,547,88,173,31,1,8,49,50,43,4,4,.316
205,6,Aaron Judge,6,157,570,133,177,28,0,62,131,111,175,16,3,.311
206,7,Xander Bogaerts,10,150,557,84,171,38,0,15,73,57,118,8,2,.307
207,8,Yordan Alvarez,2,135,470,95,144,29,2,37,97,78,106,1,1,.306
208,9,Jose Abreu,6,157,601,85,183,40,0,15,75,62,110,0,0,.304
209, ,Andrew Benintendi,4,126,461,54,140,23,3,5,51,52,77,8,3,.304
210,11,Nathaniel Lowe,0,157,593,74,179,26,3,27,76,48,147,2,2,.302
211,12,Tim Anderson,4,79,332,50,100,13,0,6,25,14,55,13,0,.301
212, ,Yonathan Daza,0,113,372,56,112,21,2,2,34,26,58,0,3,.301
213,14,Jose Altuve,9,141,527,103,158,39,0,28,57,66,87,18,1,.300
214, ,Harold Ramirez,0,120,403,46,121,24,0,6,58,19,72,3,5,.300
215,16,Manny Machado,7,150,578,100,172,37,1,32,102,63,133,9,1,.298
216, ,Trea Turner,8,160,652,101,194,39,4,21,100,45,131,27,3,.298
217, ,Steven Kwan,0,147,563,89,168,25,7,6,52,62,60,19,5,.298
218,19,Andres Gimenez,0,146,491,66,146,26,3,17,69,34,112,20,3,.297
219, ,Michael Harris II,0,114,414,75,123,27,3,19,64,21,107,20,2,.297
220,21,Yandy Diaz,3,137,473,71,140,33,0,9,57,78,60,3,3,.296
